UMAP_1,UMAP_2
6.766752,4.380208
2.5680676,10.917181
0.8265274,8.351847
2.2382722,5.423921
0.6580326,6.3964386
7.157815,3.8613698
-1.6393334,8.001281
4.2182016,3.5272949
1.5436603,6.420468
1.1956518,6.169344
1.7512127,2.8496714
0.17457792,5.5359583
0.08285915,6.6146483
1.0545132,7.389127
-0.5127774,5.2003255
-1.741691,8.486497
3.616403,3.2788641
1.2525641,7.5212607
0.9132779,7.866754
6.4213767,5.554591
-2.4057112,9.383356
0.6941681,7.302505
0.582786,7.2555404
1.531548,4.9658127
0.21446729,6.1437807
2.2077308,4.812887
3.849642,6.514435
-2.1548321,9.536596
-0.6252234,5.83879
1.0407268,7.306999
1.3808008,4.9485016
1.1719477,4.8650427
1.5806433,7.1061053
5.2766833,4.2571616
4.274047,0.44780508
-0.14703952,6.87543
2.414431,5.7357464
0.5528991,6.2808285
0.39264122,6.199563
-1.4655708,5.1640987
-1.8235399,8.529598
1.2260983,7.3945236
-1.5031992,5.1202006
2.776244,4.370293
0.9092027,5.1834803
0.81330425,8.01736
-0.37547588,7.52484
1.3826702,2.601987
-2.4076052,8.902424
4.96801,6.3507037
-2.5293515,9.286865
-2.5103598,9.256781
2.8892033,4.040737
2.1108983,4.29597
0.7969719,7.977907
-1.0936344,5.3563085
1.6095545,8.817423
-0.20702899,5.9939833
2.35697,8.057836
1.2064619,7.4595404
1.1969732,6.884794
3.433718,5.543757
1.383435,7.7702446
-2.4795156,9.192407
-1.4113232,5.175371
4.8130827,6.8858037
-0.14979202,6.087232
-1.8092948,8.51788
0.6440101,7.3389096
1.8776432,3.310059
-2.3565142,9.45688
-2.2935054,9.465458
2.8851216,4.160633
-2.3085046,9.43712
2.672695,11.06145
-0.41732585,5.9061804
0.9231139,6.673053
0.78042245,6.789028
0.7264521,7.3260813
-1.4019194,5.2290697
1.6068878,3.7317898
-2.4613736,8.9825
7.7181416,4.3509355
0.3221718,6.7414618
-1.5706489,5.079635
1.086504,7.6411395
0.71613693,6.723014
1.0606983,7.587796
-2.4280136,8.982505
-0.37593475,7.7882395
-0.20838252,6.117883
3.5673828,7.5345864
0.4924773,5.3906026
-0.43325144,5.7665095
0.31280002,8.408844
0.47115996,6.430693
-2.4972715,9.241426
-1.6120921,9.269781
1.3959705,6.927031
4.244053,3.1437747
0.65587384,6.4667454
2.3968737,3.1114895
-2.0975525,9.056653
1.6084262,7.5478473
1.5937891,6.360239
3.1598673,4.7557225
1.4271959,8.2318125
1.3356647,6.9807324
7.740764,3.8445106
1.4548022,7.857606
0.95660055,7.755731
0.033671636,8.382834
-2.5119882,8.996425
0.93206006,7.6734123
-2.4593203,9.335168
1.8242824,4.7164273
1.7752247,3.1205528
-1.4786098,5.212814
-0.19891612,6.6320024
-2.1691277,9.482862
0.36303622,6.9807835
-2.141611,9.326175
-0.30212468,7.8220224
-2.4509044,9.149371
-1.5275247,8.3036
-0.12076261,6.5004234
-0.08577814,6.4161453
-1.0132103,5.305588
-2.5181057,9.25085
1.4693342,7.933539
0.85672015,5.152611
-2.527966,9.2284775
2.23361,3.0162694
0.66843146,8.269289
-0.27448064,7.591751
-2.4416416,9.258639
-0.38445693,7.860249
1.0205598,8.054068
7.7791266,3.8885052
1.3804798,8.06089
1.5375102,6.8234687
2.002194,6.535365
1.5289505,6.660479
0.28010038,6.153497
1.6244843,6.8293242
1.7249163,7.848319
2.0334387,6.0379167
-2.4548035,9.240056
1.0491407,7.977535
6.090164,6.093159
1.3426553,7.985285
6.0103545,5.6972265
4.6835694,6.562654
6.1152253,5.571435
0.7829676,4.1230206
0.6299409,7.2581816
1.671238,5.901456
-0.7091892,7.2625933
-1.4182323,5.2409577
-1.4105998,8.204567
1.3014048,9.043803
0.9112692,9.08758
-0.076723926,8.118647
0.71625996,7.494645
3.38428,3.727349
-2.2375946,8.826941
1.9738148,4.9203634
-1.1698414,5.3599305
0.7518678,6.2187552
2.121675,4.8721848
2.0889883,5.0211477
1.9504056,4.8393383
1.6025491,4.8428836
4.4088345,7.2916994
1.4137257,7.84601
1.6026897,4.8273277
1.9483956,2.970462
-0.03185303,5.828253
-0.9068749,8.0249405
6.901103,4.1975293
3.133117,4.5071125
2.5531108,6.2163987
1.1873059,8.546672
1.2640469,7.4451876
-0.35642558,7.329429
-1.1933923,5.2827454
1.1155268,6.6370153
2.0548022,8.023624
0.91390526,7.7643495
3.513909,3.8889275
1.9684355,8.636367
0.5390857,5.5947714
4.178673,4.9876237
1.7967541,4.513611
3.098002,5.145653
2.0918517,4.837102
0.60376346,7.447408
0.4015485,6.9697356
2.18599,7.8646903
0.19539051,4.61693
0.0567888,4.433471
1.2381473,9.045528
1.5269849,4.582882
1.8523673,4.856869
0.3868301,6.8672876
5.6510906,5.5379252
1.3322055,8.904655
1.6044443,7.7908177
1.0784166,6.0941143
1.909243,9.040279
0.73115337,6.891109
0.41708857,6.576456
1.8046944,4.8481894
-0.38488555,5.693133
1.1644799,8.664972
1.3704102,8.296934
0.2632422,5.9512444
7.440944,3.7411125
-0.5422475,6.3406878
1.8056078,4.7571783
2.2501817,5.708131
1.3540629,5.332296
2.0256822,7.2471304
2.054562,5.510704
1.7449625,5.062005
1.7858322,5.9701424
7.5424275,4.3046827
1.8902149,5.4787126
0.95829546,4.88994
0.61207813,5.6093035
1.6440375,6.793132
1.5053018,3.2951486
0.26771703,5.7813034
1.4665086,8.294175
